game,game_time,blue_team,blue_team_dragons,blue_team_gold,blue_team_inhibitors,blue_team_barons,blue_team_towers,blue_team_kills,blue_team_top,blue_team_top_kills,blue_team_top_deaths,blue_team_top_assists,blue_team_top_cs,blue_team_top_gold,blue_team_jungle,blue_team_jungle_kills,blue_team_jungle_deaths,blue_team_jungle_assists,blue_team_jungle_cs,blue_team_jungle_gold,blue_team_mid,blue_team_mid_kills,blue_team_mid_deaths,blue_team_mid_assists,blue_team_mid_cs,blue_team_mid_gold,blue_team_bottom,blue_team_bottom_kills,blue_team_bottom_deaths,blue_team_bottom_assists,blue_team_bottom_cs,blue_team_bottom_gold,blue_team_support,blue_team_support_kills,blue_team_support_deaths,blue_team_support_assists,blue_team_support_cs,blue_team_support_gold,red_team,red_team_dragons,red_team_gold,red_team_inhibitors,red_team_barons,red_team_towers,red_team_kills,red_team_top,red_team_top_kills,red_team_top_deaths,red_team_top_assists,red_team_top_cs,red_team_top_gold,red_team_jungle,red_team_jungle_kills,red_team_jungle_deaths,red_team_jungle_assists,red_team_jungle_cs,red_team_jungle_gold,red_team_mid,red_team_mid_kills,red_team_mid_deaths,red_team_mid_assists,red_team_mid_cs,red_team_mid_gold,red_team_bottom,red_team_bottom_kills,red_team_bottom_deaths,red_team_bottom_assists,red_team_bottom_cs,red_team_bottom_gold,red_team_support,red_team_support_kills,red_team_support_deaths,red_team_support_assists,red_team_support_cs,red_team_support_gold
12,late,LLL,"['hextech', 'mountain', 'mountain']",55.3 K,1,0,8,20,Robo,7,3,4,244,13.0 K,Croc,4,1,13,157,10.5 K,tinowns,5,1,12,273,13.1 K,Route,2,1,6,251,11.4 K,RedBert,1,2,12,39,7.3 K,LBR,['chemtech'],50.2 K,0,1,3,8,Makes,2,7,1,226,10.3 K,Drakehero,2,5,4,166,9.3 K,Pilot,0,2,7,252,11.1 K,micaO,2,3,3,254,11.3 K,Cavalo,2,3,3,53,8.2 K
120,late,VKS,['mountain'],38.1 K,0,0,3,8,Guigo,1,3,2,148,8.1 K,Disamis,0,0,7,114,6.5 K,Leleko,2,2,4,179,7.7 K,Smiley,2,0,3,227,9.5 K,ProDelta,3,0,5,34,6.3 K,RED,"['ocean', 'chemtech']",34.7 K,0,0,2,5,fNb,0,3,2,170,7.1 K,Aegis,2,3,1,134,7.0 K,Grevthar,0,1,1,195,7.1 K,Brance,2,1,1,192,8.3 K,JoJo,1,0,3,27,5.2 K
121,late,VKS,[],56.5 K,0,0,3,13,Guigo,0,6,1,252,10.9 K,Disamis,3,4,6,215,11.6 K,Leleko,7,4,5,276,14.0 K,Smiley,3,6,4,286,12.3 K,ProDelta,0,7,9,47,7.7 K,RED,"['hextech', 'hextech', 'cloud', 'mountain']",64.5 K,2,1,9,27,fNb,4,1,12,217,12.3 K,Aegis,6,6,12,218,13.6 K,Grevthar,7,0,14,267,13.9 K,Brance,7,3,14,275,15.5 K,JoJo,3,3,17,35,9.2 K
126,late,LLL,"['mountain', 'mountain']",60.1 K,1,1,8,15,Robo,6,2,5,269,14.7 K,Croc,0,2,12,197,10.6 K,tinowns,3,1,9,295,13.8 K,Route,5,2,9,260,13.5 K,RedBert,1,6,7,34,7.5 K,PNG,"['mountain', 'cloud', 'infernal']",54.7 K,0,0,2,13,Wizer,5,3,6,261,13.1 K,CarioK,1,4,8,173,9.3 K,dyNquedo,3,2,8,270,12.6 K,TitaN,4,3,6,308,12.9 K,Kuri,0,3,9,34,6.8 K
127,late,LLL,"['infernal', 'cloud', 'cloud', 'cloud']",81.6 K,1,2,9,21,Robo,6,4,4,341,18.9 K,Croc,4,2,13,232,15.3 K,tinowns,4,1,11,375,17.8 K,Route,5,1,11,341,18.5 K,RedBert,2,5,15,51,11.0 K,PNG,"['cloud', 'cloud', 'ocean']",71.8 K,0,1,2,13,Wizer,2,6,8,275,14.5 K,CarioK,0,3,11,248,13.1 K,dyNquedo,6,2,6,360,17.2 K,TitaN,4,5,5,393,17.2 K,Kuri,1,5,12,53,9.9 K
128,late,LLL,[],41.4 K,0,0,3,7,Robo,0,3,0,196,8.2 K,Croc,3,4,4,158,9.5 K,tinowns,3,2,3,205,10.0 K,Route,1,2,3,206,8.5 K,RedBert,0,3,4,27,5.3 K,PNG,"['infernal', 'chemtech', 'mountain']",41.5 K,0,0,1,14,Wizer,5,1,6,198,9.7 K,CarioK,1,3,10,129,7.2 K,dyNquedo,2,1,10,196,8.8 K,TitaN,5,1,6,219,10.0 K,Kuri,1,1,11,26,5.7 K
129,late,LLL,"['mountain', 'mountain']",72.0 K,1,1,7,13,Robo,6,6,5,289,16.3 K,Croc,3,4,8,192,12.3 K,tinowns,3,1,10,341,15.7 K,Route,1,1,7,455,18.3 K,RedBert,0,4,12,37,9.5 K,PNG,"['mountain', 'mountain', 'ocean', 'hextech']",77.5 K,3,2,11,16,Wizer,5,2,5,310,17.5 K,CarioK,0,4,13,177,11.5 K,dyNquedo,3,0,12,324,16.8 K,TitaN,7,3,9,442,21.2 K,Kuri,1,4,14,33,10.4 K
13,late,PNG,"['hextech', 'hextech']",38.8 K,0,0,3,4,Wizer,1,1,2,216,8.9 K,CarioK,0,1,2,155,6.8 K,dyNquedo,1,0,1,206,8.6 K,TitaN,2,0,1,230,9.4 K,Kuri,0,0,3,20,5.1 K,FUR,"['infernal', 'cloud']",36.5 K,0,0,1,2,Destroy,1,2,0,196,7.9 K,Mir,0,1,2,154,6.9 K,Tutsz,1,0,0,227,8.6 K,Ayu,0,0,2,221,8.0 K,zay,0,1,2,26,5.1 K
130,late,LLL,['chemtech'],36.0 K,0,0,3,3,Robo,0,1,3,199,8.1 K,Croc,2,1,1,148,7.5 K,tinowns,0,0,2,208,7.9 K,Route,1,1,2,195,8.0 K,RedBert,0,1,3,29,4.5 K,PNG,"['mountain', 'infernal']",32.2 K,0,0,0,4,Wizer,1,0,1,180,7.0 K,CarioK,0,1,3,123,5.7 K,dyNquedo,2,0,1,187,7.5 K,TitaN,1,1,3,195,7.6 K,Kuri,0,1,3,39,4.3 K
14,late,VKS,"['cloud', 'hextech', 'mountain']",58.2 K,4,2,11,12,Guigo,3,2,5,250,11.8 K,Disamis,2,0,5,193,10.8 K,Toucouille,5,0,6,294,14.7 K,Smiley,2,1,5,239,12.6 K,ProDelta,0,2,10,31,8.4 K,ITZ,['mountain'],44.4 K,0,0,0,5,Tay,0,4,1,229,8.8 K,Yampi,1,5,2,153,8.2 K,Aithusa,1,0,3,219,9.3 K,NinjaKiwi,2,2,2,267,11.8 K,Damage,1,1,3,25,6.4 K
